id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
717776981077561344;devopsdayskc;DevOpsDays KC;Kansas City, MO;https://t.co/TqLQT9z3Qz;"9/21/2017-9/22/2017 Uptown Theater https://t.co/KGDkE15f2T
Photo credit: https://t.co/JWSxFnk8u8";False;421;272;18;717;763;2016-04-06 18:12:22;en;;http://pbs.twimg.com/profile_images/727499868365705216/5ZKV-uU4_normal.jpg
713818257497559040;kubeconio;KubeCon;;https://t.co/S91sj9TPKr;The @Kubernetesio Community Conference, a @cloudnativefdn event.;False;5152;6;93;830;416;2016-03-26 20:01:49;en;;http://pbs.twimg.com/profile_images/913479133224562689/1qaWBIsw_normal.jpg
703260650626093056;DOES_EUR;#DOES18 London;London, England;https://t.co/innZ5yGgsO;We believe in helping leaders of large, complex organizations implement #DevOps principles and practices #DOES18;False;1138;618;130;7412;6579;2016-02-26 16:49:39;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/929233761601859584/IMHDetKd_normal.jpg
694679411346411520;jsconfis;JSConf Iceland;Reykjavik, Iceland;https://t.co/ospd7LjsxZ;An international two-day JavaScript conference. March 1-2 in Harpa, Reykjavik. https://t.co/ospd7LjsxZ;False;1256;9;66;901;550;2016-02-03 00:30:53;en;;http://pbs.twimg.com/profile_images/694684796690132992/Jgwre2V9_normal.png
4892578246;JSKongress;JS Kongress;Alte Kongresshalle, Munich;https://t.co/0FxxUJle7v;"...is the conference about the Future of JavaScript. For the JS community in Europe - from the JS community . 
November 13th - 14th, Munich, Germany";False;1683;2876;84;1694;1205;2016-02-09 17:29:56;en;http://pbs.twimg.com/profile_background_images/706829493407784960/GGrwM16w.jpg;http://pbs.twimg.com/profile_images/864177300673351680/3R8SoFTy_normal.jpg
4889684536;Gartner_SYM;Gartner Symposium;Orlando, FL;https://t.co/9abbuIHZkY;Gartner Symposium/ITxpo is the industry's largest and most important annual gathering of CIOs and senior IT leaders. #GartnerSYM;False;7400;2323;142;2918;2752;2016-02-08 20:11:11;en;;http://pbs.twimg.com/profile_images/884507890865909760/ZWVcwC_h_normal.jpg
4849130543;productownerbc;Product Owner Camp;;https://t.co/C6OdWAFLQO;Das Barcamp für Product Owner, PMs/REs und Stakeholder. 25./26.08. in Frankfurt im DB-Skydeck/Silberturm. Ticket & Infos: Webseite. Projekt der @mayflowergmbh;False;350;385;14;53;345;2016-01-26 10:06:48;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/694629599762849792/2pBHA7ct_normal.png
4835170563;s1p;SpringOne Platform;San Francisco, CA;https://t.co/gngCHbUnLx;Let's build amazing software together. December 4-7, 2017;False;3057;94;55;1780;829;2016-01-22 13:55:08;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/784119117343141888/H8olNB0X_normal.jpg
4457919621;DevOpsDaysLDN;DevOpsDays London;London, England;https://t.co/VJd3ZzeXc8;"DevOpsDays London 2017 will be the QEII Conference Centre on the 6th and 7th of September. Our theme is ""transforming the future together"".";False;1450;4988;48;132;943;2015-12-12 09:40:00;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/830874275305365505/QzDXRve6_normal.png
4330641676;Docker_Camp;DevOps Docker Camp;Deutschland;;"Das DevOps Docker Camp | Präsentiert von der Entwickler Akademie
Impressum: https://t.co/RAFeDRT0Au";False;114;36;17;20;254;2015-11-30 16:21:01;de;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/671364005190049792/1mhXdKRk_normal.jpg
4292169014;disruptivelive;Disruptive;London, England;https://t.co/4tFVvIUc89;UK's only tech TV channel. Tech industry news, analysis, talk, events & shows streaming weekdays on Twitter. #DisruptiveLIVE  #IoT, #BigData, #AI, #Cloud.;False;8132;4875;291;2535;3025;2015-11-19 17:39:01;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/928235824323485696/4BZaHFSL_normal.jpg
4163273116;jaxdevops;JAX DevOps;April 9-12, 2018 I London;https://t.co/4sgIOhcAi2;The Conference for #ContinuousDelivery #Microservices #Docker & #Clouds;False;1297;3846;171;230;2526;2015-11-11 10:41:15;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/707989551793487875/ATQKrkYV_normal.jpg
4104953806;wcdgt;WCDGT;Frankfurt, Hessen;https://t.co/62n2u1GbIY;Official Twitter account for the World Class Digital Transformation conference series and think tank hosted by @managerematch.;False;5535;4692;256;27545;676;2015-11-03 13:45:58;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/664898956820881408/n2QXeuYY_normal.jpg
3959977216;abstractionscon;Abstractions;Pittsburgh, PA;https://t.co/LUoXffcAwF;A cross functional software conference by @codeandsupply. Abstractions will be back August 2018.;False;4814;221;118;887;2846;2015-10-14 23:00:54;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/675717693291421696/cs5ofuJr_normal.jpg
